Al Mg3;
Déplacement (mm);Force (N)
0;0
0;0
0;16
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;16
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;31.99
0;47.99
0;79.98
0;95.97
0.00865531914893617;95.97
0.00865531914893617;95.97
0.00865531914893617;111.97
0.015868085106383;95.97
0.015868085106383;111.97
0.0245234042553191;95.97
0.0245234042553191;111.97
0.0245234042553191;111.97
0.031736170212766;95.97
0.031736170212766;95.97
0.031736170212766;95.97
0.0403914893617021;95.97
0.0403914893617021;111.97
0.0403914893617021;95.97
0.0403914893617021;127.96
0.0490468085106383;127.96
0.0490468085106383;111.97
0.0562595744680851;95.97
0.0562595744680851;127.96
0.0562595744680851;159.95
0.0562595744680851;191.94
0.0562595744680851;207.94
0.0649148936170213;191.94
0.0649148936170213;191.94
0.0649148936170213;207.94
0.0649148936170213;207.94
0.0649148936170213;239.93
0.0649148936170213;239.93
0.0649148936170213;255.93
0.0649148936170213;255.93
0.0649148936170213;287.92
0.0649148936170213;351.9
0.0649148936170213;399.88
0.0735702127659574;287.92
0.0735702127659574;463.87
0.0735702127659574;511.85
0.0735702127659574;575.83
0.0735702127659574;623.82
0.0735702127659574;703.8
0.0807829787234043;751.78
0.0807829787234043;815.76
0.0807829787234043;863.75
0.0807829787234043;943.73
0.0894382978723404;991.71
0.0894382978723404;1055.69
0.0894382978723404;1087.69
0.0894382978723404;1167.66
0.0894382978723404;1263.63
0.0966510638297872;1199.65
0.0966510638297872;1311.62
0.0966510638297872;1375.6
0.0966510638297872;1423.59
0.0966510638297872;1471.57
0.0966510638297872;1503.57
0.0966510638297872;1567.55
0.0966510638297872;1599.54
0.0966510638297872;1663.52
0.0966510638297872;1695.51
0.0966510638297872;1743.5
0.105306382978723;1775.49
0.105306382978723;1823.47
0.105306382978723;1887.45
0.105306382978723;1951.44
0.105306382978723;1999.42
0.11396170212766;1839.47
0.11396170212766;1903.45
0.11396170212766;1967.43
0.11396170212766;2015.42
0.11396170212766;2047.41
0.11396170212766;2047.41
0.11396170212766;2079.4
0.11396170212766;2079.4
0.11396170212766;2111.39
0.11396170212766;2111.39
0.11396170212766;2143.38
0.11396170212766;2143.38
0.11396170212766;2175.37
0.11396170212766;2223.36
0.121174468085106;2191.37
0.121174468085106;2239.35
0.121174468085106;2287.34
0.121174468085106;2287.34
0.121174468085106;2319.33
0.121174468085106;2335.32
0.121174468085106;2367.32
0.121174468085106;2367.32
0.121174468085106;2399.31
0.129829787234043;2399.31
0.129829787234043;2431.3
0.129829787234043;2431.3
0.129829787234043;2463.29
0.129829787234043;2463.29
0.129829787234043;2495.28
0.129829787234043;2511.27
0.129829787234043;2543.26
0.129829787234043;2543.26
0.129829787234043;2575.26
0.137042553191489;2575.26
0.137042553191489;2607.25
0.137042553191489;2607.25
0.137042553191489;2639.24
0.137042553191489;2671.23
0.145697872340426;2639.24
0.145697872340426;2671.23
0.145697872340426;2687.22
0.145697872340426;2687.22
0.145697872340426;2703.22
0.145697872340426;2703.22
0.145697872340426;2735.21
0.145697872340426;2751.2
0.154353191489362;2735.21
0.154353191489362;2751.2
0.154353191489362;2767.2
0.154353191489362;2767.2
0.154353191489362;2783.2
0.154353191489362;2799.19
0.154353191489362;2799.19
0.154353191489362;2815.19
0.161565957446809;2783.2
0.161565957446809;2799.19
0.161565957446809;2815.19
0.161565957446809;2815.19
0.161565957446809;2815.19
0.161565957446809;2815.19
0.170221276595745;2815.19
0.170221276595745;2815.19
0.170221276595745;2815.19
0.170221276595745;2815.19
0.170221276595745;2815.19
0.170221276595745;2831.18
0.178876595744681;2799.19
0.178876595744681;2815.19
0.178876595744681;2831.18
0.178876595744681;2815.19
0.178876595744681;2831.18
0.178876595744681;2815.19
0.178876595744681;2847.18
0.186089361702128;2831.18
0.186089361702128;2847.18
0.186089361702128;2847.18
0.186089361702128;2863.17
0.186089361702128;2847.18
0.186089361702128;2863.17
0.186089361702128;2895.16
0.194744680851064;2863.17
0.194744680851064;2895.16
0.194744680851064;2927.15
0.194744680851064;2911.16
0.194744680851064;2943.15
0.194744680851064;2927.15
0.194744680851064;2943.15
0.194744680851064;2959.14
0.201957446808511;2943.15
0.201957446808511;2943.15
0.201957446808511;2959.14
0.201957446808511;2943.15
0.201957446808511;2959.14
0.201957446808511;2975.14
0.210612765957447;2959.14
0.210612765957447;2975.14
0.210612765957447;2991.14
0.210612765957447;2959.14
0.210612765957447;2991.14
0.210612765957447;3007.13
0.219268085106383;2991.14
0.219268085106383;3007.13
0.219268085106383;3023.13
0.219268085106383;3023.13
0.219268085106383;3039.12
0.219268085106383;3023.13
0.219268085106383;3055.12
0.219268085106383;3055.12
0.219268085106383;3071.11
0.22648085106383;3039.12
0.22648085106383;3055.12
0.22648085106383;3071.11
0.22648085106383;3087.11
0.22648085106383;3071.11
0.22648085106383;3087.11
0.22648085106383;3103.1
0.235136170212766;3071.11
0.235136170212766;3103.1
0.235136170212766;3103.1
0.235136170212766;3087.11
0.235136170212766;3119.1
0.235136170212766;3135.09
0.242348936170213;3119.1
0.242348936170213;3119.1
0.242348936170213;3135.09
0.242348936170213;3119.1
0.242348936170213;3151.09
0.242348936170213;3135.09
0.242348936170213;3151.09
0.242348936170213;3167.08
0.251004255319149;3135.09
0.251004255319149;3167.08
0.251004255319149;3199.08
0.251004255319149;3183.08
0.251004255319149;3167.08
0.251004255319149;3199.08
0.259659574468085;3183.08
0.259659574468085;3199.08
0.259659574468085;3231.07
0.259659574468085;3199.08
0.259659574468085;3231.07
0.259659574468085;3215.07
0.259659574468085;3231.07
0.259659574468085;3247.06
0.266872340425532;3231.07
0.266872340425532;3231.07
0.266872340425532;3263.06
0.266872340425532;3247.06
0.266872340425532;3263.06
0.266872340425532;3247.06
0.275527659574468;3247.06
0.275527659574468;3247.06
0.275527659574468;3279.05
0.284182978723404;3263.06
0.284182978723404;3295.05
0.284182978723404;3279.05
0.284182978723404;3311.04
0.284182978723404;3279.05
0.284182978723404;3327.04
0.284182978723404;3327.04
0.284182978723404;3311.04
0.284182978723404;3327.04
0.291395744680851;3311.04
0.291395744680851;3327.04
0.291395744680851;3343.03
0.291395744680851;3311.04
0.291395744680851;3343.03
0.291395744680851;3375.02
0.300051063829787;3359.03
0.300051063829787;3359.03
0.300051063829787;3343.03
0.300051063829787;3343.03
0.300051063829787;3359.03
0.300051063829787;3359.03
0.300051063829787;3375.02
0.307263829787234;3359.03
0.307263829787234;3391.02
0.307263829787234;3375.02
0.307263829787234;3407.01
0.307263829787234;3407.01
0.307263829787234;3407.01
0.307263829787234;3439.01
0.31591914893617;3375.02
0.31591914893617;3423.01
0.31591914893617;3439.01
0.31591914893617;3423.01
0.31591914893617;3439.01
0.31591914893617;3423.01
0.324574468085106;3391.02
0.324574468085106;3439.01
0.324574468085106;3471
0.324574468085106;3439.01
0.324574468085106;3471
0.324574468085106;3471
0.324574468085106;3486.99
0.331787234042553;3455
0.331787234042553;3471
0.331787234042553;3471
0.331787234042553;3486.99
0.331787234042553;3471
0.331787234042553;3502.99
0.340442553191489;3486.99
0.340442553191489;3518.98
0.340442553191489;3502.99
0.340442553191489;3518.98
0.340442553191489;3502.99
0.340442553191489;3518.98
0.340442553191489;3518.98
0.340442553191489;3534.98
0.340442553191489;3534.98
0.347655319148936;3502.99
0.347655319148936;3550.97
0.347655319148936;3582.96
0.347655319148936;3566.97
0.347655319148936;3582.96
0.347655319148936;3534.98
0.347655319148936;3550.97
0.356310638297872;3534.98
0.356310638297872;3566.97
0.356310638297872;3550.97
0.356310638297872;3582.96
0.356310638297872;3582.96
0.364965957446808;3566.97
0.364965957446808;3566.97
0.364965957446808;3614.95
0.364965957446808;3614.95
0.364965957446808;3646.95
0.364965957446808;3630.95
0.364965957446808;3582.96
0.372178723404255;3582.96
0.372178723404255;3614.95
0.372178723404255;3598.96
0.372178723404255;3614.95
0.372178723404255;3614.95
0.372178723404255;3630.95
0.372178723404255;3614.95
0.372178723404255;3630.95
0.380834042553192;3630.95
0.380834042553192;3646.95
0.380834042553192;3646.95
0.380834042553192;3646.95
0.380834042553192;3630.95
0.380834042553192;3662.94
0.380834042553192;3710.93
0.389489361702128;3678.94
0.389489361702128;3694.93
0.389489361702128;3710.93
0.389489361702128;3662.94
0.389489361702128;3710.93
0.389489361702128;3710.93
0.396702127659574;3662.94
0.396702127659574;3726.92
0.396702127659574;3742.92
0.396702127659574;3662.94
0.396702127659574;3726.92
0.396702127659574;3710.93
0.396702127659574;3726.92
0.405357446808511;3742.92
0.405357446808511;3774.91
0.405357446808511;3694.93
0.405357446808511;3726.92
0.405357446808511;3726.92
0.405357446808511;3742.92
0.412570212765957;3726.92
0.412570212765957;3758.91
0.412570212765957;3742.92
0.412570212765957;3758.91
0.412570212765957;3742.92
0.412570212765957;3758.91
0.421225531914894;3758.91
0.421225531914894;3774.91
0.421225531914894;3742.92
0.421225531914894;3790.9
0.421225531914894;3806.9
0.421225531914894;3822.89
0.421225531914894;3806.9
0.421225531914894;3822.89
0.421225531914894;3870.88
0.42988085106383;3838.89
0.42988085106383;3790.9
0.42988085106383;3790.9
0.42988085106383;3790.9
0.42988085106383;3806.9
0.42988085106383;3822.89
0.437093617021277;3806.9
0.437093617021277;3806.9
0.437093617021277;3822.89
0.437093617021277;3822.89
0.437093617021277;3854.89
0.437093617021277;3838.89
0.445748936170213;3854.89
0.445748936170213;3854.89
0.445748936170213;3902.87
0.445748936170213;3886.88
0.445748936170213;3934.86
0.445748936170213;3918.87
0.445748936170213;3838.89
0.445748936170213;3854.89
0.45296170212766;3838.89
0.45296170212766;3854.89
0.45296170212766;3870.88
0.45296170212766;3854.89
0.45296170212766;3886.88
0.45296170212766;3886.88
0.461617021276596;3870.88
0.461617021276596;3870.88
0.461617021276596;3902.87
0.461617021276596;3886.88
0.461617021276596;3902.87
0.461617021276596;3870.88
0.461617021276596;3902.87
0.470272340425532;3902.87
0.470272340425532;3934.86
0.470272340425532;3934.86
0.470272340425532;3918.87
0.470272340425532;3886.88
0.470272340425532;3950.86
0.470272340425532;3966.85
0.470272340425532;3966.85
0.477485106382979;3950.86
0.477485106382979;3950.86
0.477485106382979;3950.86
0.477485106382979;3966.85
0.477485106382979;3950.86
0.477485106382979;3950.86
0.477485106382979;4014.84
0.486140425531915;3966.85
0.486140425531915;3998.84
0.486140425531915;3950.86
0.486140425531915;3982.85
0.486140425531915;4014.84
0.486140425531915;3998.84
0.494795744680851;3966.85
0.494795744680851;3982.85
0.494795744680851;3998.84
0.494795744680851;3982.85
0.494795744680851;3998.84
0.494795744680851;4014.84
0.494795744680851;4030.83
0.502008510638298;3998.84
0.502008510638298;3998.84
0.502008510638298;3998.84
0.502008510638298;4030.83
0.502008510638298;4046.83
0.502008510638298;4078.82
0.502008510638298;4062.83
0.510663829787234;4062.83
0.510663829787234;4062.83
0.510663829787234;4094.82
0.510663829787234;4094.82
0.510663829787234;4062.83
0.510663829787234;4078.82
0.510663829787234;4142.8
0.517876595744681;4062.83
0.517876595744681;4046.83
0.517876595744681;4046.83
0.517876595744681;4062.83
0.517876595744681;4078.82
0.526531914893617;4046.83
0.526531914893617;4062.83
0.526531914893617;4078.82
0.526531914893617;4078.82
0.526531914893617;4110.81
0.526531914893617;4094.82
0.526531914893617;4110.81
0.526531914893617;4126.81
0.535187234042553;4094.82
0.535187234042553;4110.81
0.535187234042553;4126.81
0.535187234042553;4142.8
0.535187234042553;4206.78
0.535187234042553;4190.79
0.535187234042553;4206.78
0.5424;4190.79
0.5424;4174.79
0.5424;4174.79
0.5424;4094.82
0.5424;4078.82
0.5424;4094.82
0.551055319148936;4094.82
0.551055319148936;4110.81
0.551055319148936;4094.82
0.551055319148936;4126.81
0.551055319148936;4110.81
0.551055319148936;4126.81
0.551055319148936;4142.8
0.558268085106383;4110.81
0.558268085106383;4126.81
0.558268085106383;4142.8
0.558268085106383;4126.81
0.558268085106383;4142.8
0.558268085106383;4158.8
0.558268085106383;4174.79
0.566923404255319;4126.81
0.566923404255319;4142.8
0.566923404255319;4158.8
0.566923404255319;4174.79
0.566923404255319;4174.79
0.566923404255319;4190.79
0.575578723404255;4158.8
0.575578723404255;4174.79
