Az_1;Az_2
0;0
0,000457852;0,001832596
0,000916961;0,003665191
0,001377321;0,005497787
0,001838927;0,007330383
0,002301773;0,009162979
0,002765853;0,010995574
0,003231162;0,01282817
0,003697694;0,014660766
0,004165444;0,016493361
0,004634405;0,018325957
0,005104573;0,020158553
0,005575943;0,021991149
0,006048508;0,023823744
0,006522263;0,02565634
0,006997203;0,027488936
0,007473324;0,029321531
0,007950618;0,031154127
0,008429082;0,032986723
0,008908709;0,034819319
0,009389495;0,036651914
0,009871435;0,03848451
0,010354523;0,040317106
0,010838754;0,042149701
0,011324124;0,043982297
0,011810626;0,045814893
0,012298257;0,047647489
0,012787011;0,049480084
0,013276883;0,05131268
0,013767869;0,053145276
0,014259962;0,054977871
0,014753159;0,056810467
0,015247455;0,058643063
0,015742844;0,060475659
0,016239322;0,062308254
0,016736885;0,06414085
0,017235526;0,065973446
0,017735243;0,067806041
0,018236029;0,069638637
0,018737881;0,071471233
0,019240794;0,073303829
0,019744762;0,075136424
0,020249782;0,07696902
0,020755849;0,078801616
0,021262959;0,080634211
0,021771106;0,082466807
0,022280286;0,084299403
0,022790495;0,086131999
0,023301729;0,087964594
0,023813983;0,08979719
0,024327253;0,091629786
0,024841533;0,093462381
0,025356821;0,095294977
0,025873111;0,097127573
0,0263904;0,098960169
0,026908683;0,100792764
0,027427955;0,10262536
0,027948213;0,104457956
0,028469452;0,106290551
0,028991669;0,108123147
0,029514858;0,109955743
0,030038986;0,111788339
0,03056414;0,113620934
0,031090224;0,11545353
0,031617264;0,117286126
0,032145257;0,119118721
0,032674199;0,120951317
0,033204085;0,122783913
0,033734911;0,124616509
0,034266675;0,126449104
0,03479937;0,1282817
0,035332995;0,130114296
0,035867544;0,131946891
0,036403015;0,133779487
0,036939402;0,135612083
0,037476703;0,137444679
0,038014913;0,139277274
0,038554029;0,14110987
0,039094047;0,142942466
0,039634962;0,144775061
0,040176773;0,146607657
0,040719473;0,148440253
0,041263061;0,150272849
0,041807532;0,152105444
0,042352883;0,15393804
0,04289911;0,155770636
0,043446209;0,157603231
0,043994177;0,159435827
0,044543011;0,161268423
0,045092706;0,163101019
0,045643259;0,164933614
0,046194666;0,16676621
0,046746925;0,168598806
0,047300031;0,170431401
0,047853982;0,172263997
0,048408773;0,174096593
0,048964401;0,175929189
0,049520863;0,177761784
0,050078125;0,17959438
0,050636275;0,181426976
0,051195219;0,183259571
0,051754982;0,185092167
0,052315563;0,186924763
0,052876958;0,188757359
0,053439162;0,190589954
0,054002174;0,19242255
0,05456599;0,194255146
0,055130607;0,196087741
0,05569602;0,197920337
0,056262229;0,199752933
0,056829228;0,201585529
0,057397014;0,203418124
0,057965586;0,20525072
0,058534939;0,207083316
0,059105071;0,208915911
0,059675977;0,210748507
0,060247656;0,212581103
0,060820104;0,214413699
0,061393318;0,216246294
0,061967295;0,21807889
0,062542032;0,219911486
0,063117526;0,221744081
0,063693774;0,223576677
0,064270773;0,225409273
0,064848519;0,227241869
0,065427011;0,229074464
0,066006245;0,23090706
0,066586217;0,232739656
0,067166927;0,234572251
0,067748369;0,236404847
0,068330542;0,238237443
0,068913442;0,24006958
0,069497067;0,241902634
0,070081329;0,24373523
0,07066648;0,245567826
0,071252262;0,247400421
0,071838757;0,249233017
0,072425963;0,251065613
0,073013877;0,252898209
0,073602496;0,254730804
0,074191817;0,2565634
0,074781838;0,258395996
0,075372556;0,260228591
0,075963968;0,262061187
0,076556071;0,263893783
0,077148864;0,265726379
0,077742342;0,267558974
0,078336504;0,26939157
0,078931346;0,271224166
0,079526867;0,273056761
0,080123064;0,274889357
0,080719933;0,276721953
0,081317473;0,278554549
0,081915681;0,280387144
0,082514554;0,28221974
0,083114089;0,284052336
0,083714285;0,285884931
0,084315138;0,287717527
0,084916647;0,289550123
0,085518808;0,291382719
0,086121619;0,293215314
0,086725078;0,29504791
0,087329182;0,296880506
0,087933929;0,298713101
0,088539316;0,300545697
0,089145341;0,302378293
0,089752002;0,304210889
0,090359295;0,306043484
0,090967219;0,30787608
0,091575771;0,309708676
0,092184949;0,311541271
0,092794751;0,313373867
0,093405174;0,315206463
0,094016215;0,317039059
0,094627873;0,318871654
0,095240145;0,32070425
0,095853029;0,322536846
0,096466523;0,324369441
0,097080624;0,326202037
0,097695329;0,328034633
0,098310638;0,329867229
0,098926547;0,331699824
0,099543054;0,33353242
0,100160157;0,335365016
0,100777854;0,337197611
0,101396143;0,339030207
0,102015021;0,340862803
0,102634486;0,342695399
0,103254536;0,344527994
0,103875168;0,34636059
0,104496382;0,348193186
0,105118174;0,350025635
0,105740542;0,351858377
0,106363484;0,353690973
0,106986999;0,355523569
0,107611083;0,357356164
0,108235736;0,35918876
0,108860954;0,361021356
0,109486736;0,362853951
0,110113079;0,364686547
0,110739983;0,366519143
0,111367443;0,368351739
0,111995459;0,370184334
0,112624029;0,37201693
0,11325315;0,373849526
0,11388282;0,375682121
0,114513038;0,377514717
0,115143801;0,379347313
0,115775107;0,381179909
0,116406955;0,383012504
0,117039342;0,3848451
0,117672267;0,386677696
0,118305728;0,388510291
0,118939721;0,390342887
0,119574247;0,392175483
0,120209302;0,394008079
0,120844885;0,395840674
0,121480994;0,39767327
0,122117627;0,399505866
0,122754782;0,401338461
0,123392457;0,403171057
0,124030651;0,405003653
0,124669361;0,406836249
0,125308585;0,408668844
0,125948323;0,41050144
0,126588571;0,412334036
0,127229328;0,414166631
0,127870593;0,415999227
0,128512363;0,417831823
0,129154636;0,419664419
0,129797412;0,421497014
0,130440687;0,42332961
0,131084461;0,425162206
0,131728731;0,426994801
0,132373496;0,428827397
0,133018754;0,430659993
0,133664503;0,432492589
0,134310741;0,434325184
0,134957467;0,43615778
0,135604679;0,437990376
0,136252375;0,439822972
0,136900554;0,441655567
0,137549213;0,443488163
0,138198352;0,445320759
0,138847968;0,447153354
0,139498059;0,44898595
0,140148625;0,450818546
0,140799663;0,452651142
0,141451172;0,454483737
0,14210315;0,456316333
0,142755595;0,458148929
0,143408506;0,459981524
0,144061881;0,46181412
0,144715718;0,463646716
0,145370017;0,465479312
0,146024774;0,467311907
0,146679989;0,469144503
0,147335661;0,470977099
0,147991786;0,472809694
0,148648365;0,47464229
0,149305395;0,476474886
0,149962874;0,478307482
0,150620802;0,480140077
0,151279176;0,481972673
0,151937995;0,483805269
0,152597257;0,485637864
0,153256962;0,48747046
0,153917107;0,489303056
0,154577691;0,491135652
0,155238712;0,492968247
0,155900168;0,494800843
0,15656206;0,496633439
0,157224384;0,498466034
0,157887139;0,50029863
0,158550324;0,502131226
0,159213937;0,503963822
0,159877978;0,505796417
0,160542443;0,507629013
0,161207333;0,509461609
0,161872645;0,511294204
0,162538378;0,5131268
0,163204531;0,514959396
0,163871102;0,516791992
0,164538089;0,518624587
0,165205492;0,520457183
0,165873308;0,522289779
0,166541537;0,524122374
0,167210177;0,52595497
0,167879227;0,527787566
0,168548684;0,529620162
0,169218549;0,531452757
0,169888819;0,533285353
0,170559493;0,535117949
0,17123057;0,536950544
0,171902047;0,53878314
0,172573925;0,540615736
0,173246202;0,542448332
0,173918875;0,544280927
0,174591945;0,546113523
0,175265409;0,547946119
0,175939266;0,549778714
0,176613515;0,55161131
0,177288155;0,553443906
0,177963184;0,555276502
0,178638601;0,557109097
0,179314404;0,558941693
0,179990592;0,560774289
0,180667165;0,562606884
0,18134412;0,56443948
0,182021457;0,566272076
0,182699173;0,568104672
0,183377269;0,569937267
0,184055742;0,571769863
0,184734591;0,573602459
0,185413816;0,575435054
0,186093414;0,57726765
0,186773385;0,579100246
0,187453727;0,580932842
0,188134439;0,582765437
0,188815519;0,584598033
0,189496968;0,586430629
0,190178782;0,588263224
0,190860962;0,590095215
0,191543506;0,591928416
0,192226412;0,593761012
0,192909679;0,595593607
0,193593307;0,597426203
0,194277294;0,599258799
0,194961639;0,601091394
0,195646341;0,60292399
0,196331398;0,604756586
0,197016809;0,606589182
0,197702574;0,608421777
0,19838869;0,610254373
0,199075157;0,612086969
0,199761974;0,613919564
0,200449139;0,61575216
0,201136652;0,617584756
0,20182451;0,619417352
0,202512714;0,621249947
0,203201262;0,623082543
0,203890152;0,624915139
0,204579384;0,626747734
0,205268957;0,62858033
0,205958869;0,630412926
0,206649119;0,632245522
0,207339706;0,634078117
0,208030629;0,635910713
0,208721887;0,637743309
0,209413479;0,639575904
0,210105404;0,6414085
0,210797661;0,643241096
0,211490248;0,645073692
0,212183164;0,646906287
0,212876409;0,648738883
0,213569981;0,650571479
0,214263879;0,652404074
0,214958103;0,65423667
0,21565265;0,656069266
0,216347521;0,657901862
0,217042714;0,659734457
0,217738227;0,661567053
0,218434061;0,663399649
0,219130213;0,665232244
0,219826683;0,66706484
0,22052347;0,668897436
0,221220573;0,670730032
0,22191799;0,672562627
0,222615722;0,674395223
0,223313765;0,676227819
0,224012121;0,678060414
0,224710787;0,67989301
0,225409763;0,681725606
0,226109047;0,683558202
0,226808639;0,685390797
0,227508538;0,687223393
0,228208742;0,689055989
0,228909251;0,690888584
0,229610064;0,69272118
0,230311179;0,694553776
0,231012597;0,696386372
0,231714314;0,698218967
0,232416332;0,70005127
0,233118649;0,701884159
0,233821263;0,703716754
0,234524174;0,70554935
0,235227381;0,707381946
0,235930883;0,709214542
0,236634679;0,711047137
0,237338768;0,712879733
0,23804315;0,714712329
0,238747822;0,716544924
0,239452785;0,71837752
0,240158037;0,720210116
0,240863577;0,722042712
0,241569405;0,723875307
0,24227552;0,725707903
0,24298192;0,727540499
0,243688605;0,729373094
0,244395574;0,73120569
0,245102825;0,733038286
0,245810359;0,734870882
0,246518173;0,736703477
0,247226268;0,738536073
0,247934642;0,740368669
0,248643295;0,742201264
0,249352225;0,74403386
0,250061035;0,745866456
0,250770914;0,747699052
0,251480672;0,749531647
0,252190703;0,751364243
0,252901007;0,753196839
0,253611584;0,755029434
0,254322432;0,75686203
0,255033551;0,758694626
0,255744939;0,760527222
0,256456596;0,762359817
0,257168521;0,764192413
0,257880713;0,766025009
0,258593171;0,767857604
0,259305895;0,7696902
0,260018311;0,771522796
0,260732135;0,773355392
0,26144565;0,775187987
0,262159427;0,777020583
0,262873465;0,778853179
0,263587764;0,780685774
0,264302322;0,78251837
